Item,Qty,Reference(s),Value,MPN_LCSC
1,1,AE1,ANT3216LL00R2400A,C293767
2,5,"C1, C9, C15, C18, C20",1uF,C14445
3,8,"C2, C4, C7, C10, C11, C12, C13, C16",100nF,C41851
4,1,C3,200pF,C41851
5,1,C5,10uF,C15525
6,1,C6,100nF,C41851
7,3,"C14, C17, C19",22uF,C14445
8,1,D1,WS2812B-2020,C965555
9,1,D2,Red,C965790
10,1,D3,RB160M-30,C2937163
11,1,F1,1A,C2830233
14,1,J3,USB_B_Micro,C136000
17,1,L1,1.5uH,C241335
18,2,"Q1, Q2",2SC4617R BR,C2836080
19,1,Q3,PMZ290UNE2YL,C478155
20,1,Q4,YJQD30P02A,C919546
21,1,Q5,PMZ350UPEYL,C478207
22,7,"R1, R4, R5, R6, R17, R18, R20",10K,C2906885
23,2,"R2, R3",0R*,C2906877
24,3,"R7, R10, R21",100K,C106234
25,1,R8,2.1k,C100301
26,1,R9,150,C106234
27,2,"R11, R12",1M,C2906900
28,1,R13,470K,C25562
29,1,R14,147K,C2933073
30,2,"R15, R16",4.7K,C106234
31,1,R19,*10k,C2906885
32,1,R22,NC,C2906877
33,1,SW1,SW_SPST,C493280
34,1,SW2,Power,C145858
47,1,U1,SPH0645LMH,
48,1,U2,ESP32-PICO-D4,C193707
49,1,U3,CH9102F,C2858418
50,1,U4,XC61CC3002MR,C80698
51,1,U5,AP5054HTC,C2843820
52,1,U6,MAX17048,C2682616
53,1,U7,NCP167BMX330TBG,C892227
54,1,U8,SY7088,C178240
55,1,U9,LY68L6400SLIT_PSRAM,C261881
